trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
309,False,"{'a': 0.0119926306926773, 'e': 0.024582501965057454}",35,17,34.69382953007838,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
310,False,"{'a': 0.0119926306926773, 'e': 0.02428945401477646}",30,2,47.680227554450944,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 0}",1
311,False,"{'a': 0.0119926306926773, 'e': 0.023999899488447413}",20,10,16.585745832534442,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
312,False,"{'a': 0.0119926306926773, 'e': 0.023713796740971307}",20,16,7.710301950716673,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
313,False,"{'a': 0.0119926306926773, 'e': 0.023431104623700245}",25,11,23.312596466318244,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
314,False,"{'a': 0.0119926306926773, 'e': 0.02315178247851929}",30,12,19.12660727278535,"{0: 17, 1: 0, 2: 1, 3: 0, 4: 0}",1
315,False,"{'a': 0.0119926306926773, 'e': 0.022875790131998756}",20,16,8.77968678678593,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
316,False,"{'a': 0.0119926306926773, 'e': 0.022603087889616364}",25,14,22.15898168278227,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
317,False,"{'a': 0.0119926306926773, 'e': 0.022333636530048127}",20,2,27.230131822478267,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
318,False,"{'a': 0.0119926306926773, 'e': 0.02206739729952739}",20,11,16.886857788358686,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
319,False,"{'a': 0.0119926306926773, 'e': 0.021804331906271027}",25,15,16.52860458625996,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
320,False,"{'a': 0.0119926306926773, 'e': 0.021544402514972204}",20,12,16.29005119365795,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
321,False,"{'a': 0.0119926306926773, 'e': 0.021287571741358695}",30,19,20.225631565012588,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
322,False,"{'a': 0.0119926306926773, 'e': 0.021033802646816063}",30,19,21.604262189575767,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
323,False,"{'a': 0.0119926306926773, 'e': 0.02078305873307505}",25,6,33.86971272031959,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
324,False,"{'a': 0.0119926306926773, 'e': 0.020535303936962162}",20,14,11.43294196724019,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
325,False,"{'a': 0.0119926306926773, 'e': 0.020290502625212932}",30,13,32.39834630448712,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
326,False,"{'a': 0.0119926306926773, 'e': 0.020048619589346933}",20,11,17.65203469573395,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
327,False,"{'a': 0.0119926306926773, 'e': 0.019809620040603965}",20,12,12.099334854185352,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
328,False,"{'a': 0.0119926306926773, 'e': 0.019573469604940573}",25,0,35.24296397745918,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
329,False,"{'a': 0.0119926306926773, 'e': 0.019340134318086184}",25,16,17.23990923670248,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
330,False,"{'a': 0.0119926306926773, 'e': 0.019109580620658206}",25,8,25.44855103646498,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
331,False,"{'a': 0.0119926306926773, 'e': 0.01888177535333539}",25,20,9.464301459414658,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
332,False,"{'a': 0.0119926306926773, 'e': 0.018656685752088675}",20,13,13.571630478638053,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
333,False,"{'a': 0.0119926306926773, 'e': 0.018434279443468923}",25,0,38.06571696734031,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",1
334,False,"{'a': 0.0119926306926773, 'e': 0.01821452443995078}",25,9,23.926720295281797,"{0: 15, 1: 1, 2: 0, 3: 0, 4: 0}",1
335,False,"{'a': 0.0119926306926773, 'e': 0.017997389135332158}",20,13,13.538271314319482,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
336,False,"{'a': 0.0119926306926773, 'e': 0.01778284230018837}",30,9,28.092968491661107,"{0: 20, 1: 0, 2: 1, 3: 0, 4: 0}",1
337,False,"{'a': 0.0119926306926773, 'e': 0.017570853077380707}",20,0,32.061793808366325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
338,False,"{'a': 0.0119926306926773, 'e': 0.01736139097761828}",20,11,17.405237101471492,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
